"TokenBlocked";"WalletStatus";"CardStatus";"IsCurrentWallet";"121Status"
TRUE;"INACTIVE";"CARD_LOST";FALSE;"Lost"
TRUE;"INACTIVE";"CARD_STOLEN";FALSE;"Stolen"
TRUE;"INACTIVE";"CARD_CLOSED";FALSE;"Closed"
TRUE;"INACTIVE";"CARD_EXPIRED";FALSE;"Expired"
TRUE;"SUBSTITUTED";"CARD_OK";FALSE;"Blocked "
TRUE;"SUBSTITUTED";"CARD_BLOCKED";FALSE;"Blocked "
TRUE;"SUBSTITUTED";"SUSPECTED_FRAUD";FALSE;"Blocked "
TRUE;"SUBSTITUTED";"CARD_CLOSED_DUE_TO_FRAUD";FALSE;"Closed"
TRUE;"SUBSTITUTED";"CARD_NO_RENEWAL";FALSE;"Blocked "
TRUE;"SUBSTITUTED";"CARD_LOST";FALSE;"Lost"
TRUE;"SUBSTITUTED";"CARD_STOLEN";FALSE;"Stolen"
TRUE;"SUBSTITUTED";"CARD_CLOSED";FALSE;"Closed"
TRUE;"SUBSTITUTED";"CARD_EXPIRED";FALSE;"Blocked "
TRUE;"DISABLED";"CARD_OK";FALSE;"Blocked "
TRUE;"DISABLED";"CARD_BLOCKED";FALSE;"Blocked "
TRUE;"DISABLED";"SUSPECTED_FRAUD";FALSE;"Blocked "
TRUE;"DISABLED";"CARD_CLOSED_DUE_TO_FRAUD";FALSE;"Closed"
TRUE;"DISABLED";"CARD_NO_RENEWAL";FALSE;"Blocked "
TRUE;"DISABLED";"CARD_LOST";FALSE;"Lost"
TRUE;"DISABLED";"CARD_STOLEN";FALSE;"Stolen"
TRUE;"DISABLED";"CARD_CLOSED";FALSE;"Closed"
TRUE;"DISABLED";"CARD_EXPIRED";FALSE;"Blocked "
